event_name,f0_,f1_,f2_,f3_
Initial,1500,1254,2023-03-11 07:57:58.892930,2023-03-14 13:11:14.090179
Event - 1,965,880,2023-03-11 08:17:47.682619,2023-03-14 13:11:43.480893
Event - 2,949,868,2023-03-11 08:18:00.539804,2023-03-14 13:11:55.603121
Event - 3,907,842,2023-03-11 08:18:06.263323,2023-03-14 13:12:29.060072
Event - 4,936,837,2023-03-11 08:18:10.459835,2023-03-14 13:12:33.493194
Event - 5,881,804,2023-03-11 08:18:11.709359,2023-03-14 13:12:42.015329
Event - 6,930,790,2023-03-11 08:18:15.583508,2023-03-14 13:13:18.316854
Form,425,405,2023-03-11 08:19:16.844639,2023-03-14 13:18:12.079244
Screen1,393,378,2023-03-11 08:19:27.687913,2023-03-14 13:18:23.907430
Screen2,390,377,2023-03-11 08:19:27.960140,2023-03-14 13:18:24.358251
Screen2 Scroll,382,369,2023-03-11 08:23:25.689343,2023-03-14 13:18:50.042106
Screen3,73,63,2023-03-11 08:27:17.874692,2023-03-14 13:18:56.420349
Screen4,40,39,2023-03-11 22:59:17.512042,2023-03-14 13:18:55.543957
